repo,sha
apache/commons-cli,17de58009bf9dada031a7b3891014c6de5a089bf
jhy/jsoup,a7ec14364e2f9f84ecb795814b4fd05d028f709d
FasterXML/jackson-core,3c0bcb749b106d6b80cd1d1d133cf1c97b66e752
apache/commons-codec,77fcf89711a0e20393105a1247c41968f6eb58d4
apache/commons-csv,6f93c7edfa0f758f757227b1d30588411fdbf669
apache/commons-text,283eaf49586331a7adc0b28fdfa5e8f09df87123
stleary/JSON-java,d749ee16abd084ae94785c7afe954de25d921a5d
HdrHistogram/HdrHistogram,de84b0a7de2378abfc405da503bf4898e84ea98e
vavr-io/vavr,1c9b7af87949df5232c81253a7fc59fde3598aec
junit-team/junit4,300468b1efd48d76fac2f7bd6d576846dcbbf5ed
apache/commons-lang,f51d0615d034ae997611ac01fd4c79823122372b
apache/commons-collections,b533ad6c0527027ba08d9a9891b09d7eaf1af98e
apache/commons-pool,772089fa7b441b61fbbb1663cdbcab2158dbc9a5
apache/commons-configuration,6ef60965b273110bd83068312420c32421fef11d
apache/commons-validator,2747da8d0ff7d3aa971369543239160f7d723da9
